encoder,pretty_encoder,family,n_samples,R10,R50,R200,bar_lambda,bar_kappa,bar_rho10,checkpoint_identifier,package_source,head_checkpoint_pattern
dinov2_vits14,dinov2_vits14,Self-supervised DINO / DINOv2,924,56.709956709956714,45.67099567099567,40.476190476190474,1.3582487106323242,0.12829182829600944,0.27744738928138035,dinov2_vits14,torch_hub / timm,external_storage/checkpoints/dinov2_vits14_imagenet100*_head.pt
efficientnet_b0,EfficientNet-B0,EfficientNet / DenseNet / MobileNet / Mixer,923,64.24702058504876,61.32177681473456,60.88840736728061,1.6553874015808105,0.08669203264706682,0.1848166118650596,efficientnet_b0,timm / torchvision,external_storage/checkpoints/efficientnet_b0_imagenet100*_head.pt
efficientnet_b1,efficientnet_b1,EfficientNet / DenseNet / MobileNet / Mixer,932,67.16738197424893,65.34334763948499,64.69957081545064,2.260969638824463,0.04795755942856217,0.22543135417120386,efficientnet_b1,timm / torchvision,external_storage/checkpoints/efficientnet_b1_imagenet100*_head.pt
efficientnet_b3,efficientnet_b3,EfficientNet / DenseNet / MobileNet / Mixer,936,58.76068376068376,46.47435897435898,42.73504273504273,2.2689300775527954,0.09142958842249627,0.45681465954810996,efficientnet_b3,timm / torchvision,external_storage/checkpoints/efficientnet_b3_imagenet100*_head.pt
mixer_b16_224,mixer_b16_224,EfficientNet / DenseNet / MobileNet / Mixer,912,66.00877192982456,51.64473684210527,48.24561403508772,2.1196833848953247,0.06732389426159724,0.42511100753630693,mixer_b16_224,timm / torchvision,external_storage/checkpoints/mixer_b16_224_imagenet100*_head.pt
mobilenetv3_large_100,mobilenetv3_large_100,EfficientNet / DenseNet / MobileNet / Mixer,911,39.40724478594951,35.67508232711306,34.357848518111965,0.7812116146087646,0.3802400385734064,0.3222784052292589,mobilenetv3_large_100,timm / torchvision,external_storage/checkpoints/mobilenetv3_large_100_imagenet100*_head.pt
resnet101,resnet101,ResNet / Wide-ResNet,932,59.65665236051502,51.39484978540773,46.78111587982833,1.2855631113052368,0.5129656459964844,0.4129505236230564,resnet101,timm / torchvision,external_storage/checkpoints/resnet101_imagenet100*_head.pt
resnet152,resnet152,ResNet / Wide-ResNet,951,61.40904311251314,52.15562565720294,47.52891692954784,1.2572914361953735,0.5391650195472426,0.41279475535225707,resnet152,timm / torchvision,external_storage/checkpoints/resnet152_imagenet100*_head.pt
resnet18,resnet18,ResNet / Wide-ResNet,892,44.61883408071749,41.92825112107623,41.47982062780269,0.8381259739398956,0.35393801540771364,0.2881964756350332,resnet18,timm / torchvision,external_storage/checkpoints/resnet18_imagenet100*_head.pt
resnet34,resnet34,ResNet / Wide-ResNet,923,52.22101841820152,47.77898158179848,45.17876489707476,1.2128175497055054,0.3867657510399516,0.3867724140754234,resnet34,timm / torchvision,external_storage/checkpoints/resnet34_imagenet100*_head.pt
resnet50_timm,resnet50_timm,ResNet / Wide-ResNet,928,52.1551724137931,44.18103448275862,40.73275862068966,1.0025975704193115,0.5198332314160435,0.4111454965732778,resnet50_timm,timm / torchvision,external_storage/checkpoints/resnet50_timm_imagenet100*_head.pt
swin_base_patch4_window7_224,Swin-B,Swin / SwinV2,960,51.45833333333333,12.5,6.041666666666667,1.360593318939209,0.7721982326699214,0.9405520446487394,swin_base_patch4_window7_224,timm / torchvision,external_storage/checkpoints/swin_base_patch4_window7_224_imagenet100*_head.pt
swin_small_patch4_window7_224,swin_small_patch4_window7_224,Swin / SwinV2,959,52.55474452554745,12.825860271115747,5.839416058394161,0.794721782207489,0.8843634454761342,0.5597570826468057,swin_small_patch4_window7_224,timm / torchvision,external_storage/checkpoints/swin_small_patch4_window7_224_imagenet100*_head.pt
swin_tiny_patch4_window7_224,swin_tiny_patch4_window7_224,Swin / SwinV2,950,40.63157894736842,13.368421052631579,7.368421052631578,0.9433563351631165,0.6971283979194229,0.6743491233879824,swin_tiny_patch4_window7_224,timm / torchvision,external_storage/checkpoints/swin_tiny_patch4_window7_224_imagenet100*_head.pt
swinv2_tiny_window8_256,SwinV2-Tiny,Swin / SwinV2,961,44.22476586888658,10.718002081165452,4.890738813735692,1.0367459058761597,0.7595453052335612,0.7491039886178481,swinv2_tiny_window8_256,timm / torchvision,external_storage/checkpoints/swinv2_tiny_window8_256_imagenet100*_head.pt
vit_base_patch16_224,ViT-B/16,Supervised ViT / DeiT / DeiT3,967,60.082730093071355,18.510858324715613,8.376421923474664,1.113892674446106,0.8219619256146284,0.6797824929813953,vit_base_patch16_224,timm / torchvision,external_storage/checkpoints/vit_base_patch16_224_imagenet100*_head.pt
vit_small_patch16_224,vit_small_patch16_224,Supervised ViT / DeiT / DeiT3,916,70.3056768558952,63.31877729257642,56.659388646288214,1.3217872977256775,0.5304907532962688,0.3455488041209107,vit_small_patch16_224,timm / torchvision,external_storage/checkpoints/vit_small_patch16_224_imagenet100*_head.pt
vit_tiny_patch16_224,vit_tiny_patch16_224,Supervised ViT / DeiT / DeiT3,890,48.53932584269663,41.34831460674157,39.438202247191015,0.6168507039546967,0.6397163128822658,0.3356461202664507,vit_tiny_patch16_224,timm / torchvision,external_storage/checkpoints/vit_tiny_patch16_224_imagenet100*_head.pt
wide_resnet50_2,wide_resnet50_2,ResNet / Wide-ResNet,947,61.034846884899686,50.36958817317846,41.2882787750792,1.5694832801818848,0.46869119193341646,0.47952343180903156,wide_resnet50_2,timm / torchvision,external_storage/checkpoints/wide_resnet50_2_imagenet100*_head.pt
