backbone,eps,eps_tag,rho10,tau10,lambda10,R10,n10,R100,n100,DeltaR_10_100
deit_base_patch16_224,0.0029411764705882353,eps075centi_255,0.7702490241168762,0.26618120074272156,0.8070580363273621,19.30745015739769,953,4.616998950682056,953,14.690451206715633
deit_small_patch16_224,0.0029411764705882353,eps075centi_255,0.6230651453040257,0.07853694260120392,0.6784144043922424,21.030042918454935,932,6.866952789699571,932,14.163090128755364
deit_tiny,0.0029411764705882353,eps075centi_255,0.5054148091642086,-0.00862878281623125,0.3842763602733612,7.118644067796611,885,3.2768361581920904,885,3.8418079096045203
densenet121,0.0029411764705882353,eps075centi_255,0.3786659919118307,-0.20854267477989197,0.2958180010318756,5.159165751920966,911,2.5246981339187706,911,2.6344676180021955
densenet201,0.0029411764705882353,eps075centi_255,0.33583904218291405,-0.2132159173488617,0.31019899249076843,3.659849300322928,929,1.9375672766415502,929,1.722282023681378
dino_resnet50,0.0029411764705882353,eps075centi_255,0.37206243066852096,-0.25206664204597473,0.2578425109386444,3.0439684329199546,887,1.2401352874859075,887,1.803833145434047
dino_vitb16,0.0029411764705882353,eps075centi_255,0.2461297909238347,0.049492716789245605,0.8176161646842957,37.07742639040349,917,30.53435114503817,917,6.543075245365319
dino_vitb8,0.0029411764705882353,eps075centi_255,0.3456560425149817,0.236801415681839,0.8750064969062805,28.387096774193548,930,23.118279569892472,930,5.268817204301076
dino_vits16,0.0029411764705882353,eps075centi_255,0.2974964016973123,0.08185645192861557,0.661058783531189,23.432343234323433,909,17.82178217821782,909,5.610561056105613
dinov2_vitb14,0.0029411764705882353,eps075centi_255,0.5544946766382646,0.21111372113227844,0.667424738407135,16.510903426791277,963,7.78816199376947,963,8.722741433021806
dinov2_vitl14,0.0029411764705882353,eps075centi_255,0.5931172841177386,0.2155761569738388,0.9092150330543518,29.430051813471504,965,12.124352331606218,965,17.305699481865286
dinov2_vits14,0.0029411764705882353,eps075centi_255,0.46842739282305645,0.18747203797101974,0.5154351890087128,6.70995670995671,924,3.896103896103896,924,2.8138528138528143
efficientnet_b0,0.0029411764705882353,eps075centi_255,0.4610108315546757,0.2026589959859848,0.6283197402954102,16.468039003250272,923,10.725893824485373,923,5.742145178764899
efficientnet_b1,0.0029411764705882353,eps075centi_255,0.575262031657533,0.40706709027290344,0.8434170186519623,18.34763948497854,932,10.944206008583691,932,7.403433476394849
efficientnet_b3,0.0029411764705882353,eps075centi_255,0.7452114094904925,0.5449854135513306,0.8576972782611847,12.5,936,5.448717948717949,936,7.051282051282051
mixer_b16_224,0.0029411764705882353,eps075centi_255,0.5905264614993914,0.33098486065864563,0.8225870728492737,18.201754385964914,912,11.951754385964913,912,6.250000000000002
mobilenetv3_large_100,0.0029411764705882353,eps075centi_255,0.39675345001608253,-0.12820303440093994,0.2980169951915741,3.1833150384193196,911,1.756311745334797,911,1.4270032930845227
resnet101,0.0029411764705882353,eps075centi_255,0.3693127917939374,-0.32882584631443024,0.4497021734714508,24.034334763948497,932,6.974248927038626,932,17.06008583690987
resnet152,0.0029411764705882353,eps075centi_255,0.3477861173647909,-0.3721650540828705,0.45300543308258057,26.708727655099896,951,7.781282860147214,951,18.92744479495268
resnet18,0.0029411764705882353,eps075centi_255,0.3689032977676985,-0.22301814705133438,0.2990352362394333,6.614349775784753,892,2.914798206278027,892,3.699551569506726
resnet34,0.0029411764705882353,eps075centi_255,0.43515913508825044,-0.17766332626342773,0.4224805533885956,14.842903575297942,923,5.200433369447454,923,9.642470205850488
resnet50_timm,0.0029411764705882353,eps075centi_255,0.3744573541879599,-0.34567461907863617,0.3598804175853729,15.40948275862069,928,4.741379310344827,928,10.668103448275863
swin_base_patch4_window7_224,0.0029411764705882353,eps075centi_255,0.8724141051581398,0.253054141998291,0.6591162979602814,7.395833333333333,960,1.1458333333333333,960,6.25
swin_small_patch4_window7_224,0.0029411764705882353,eps075centi_255,0.6050976203963745,-0.14630775153636932,0.4210044741630554,9.280500521376434,959,0.7299270072992701,959,8.550573514077163
swin_tiny_patch4_window7_224,0.0029411764705882353,eps075centi_255,0.7269881936177423,0.14468497037887573,0.4211556911468506,4.315789473684211,950,0.9473684210526316,950,3.3684210526315788
swinv2_tiny_window8_256,0.0029411764705882353,eps075centi_255,0.7968221979885755,0.11300081759691238,0.41711166501045227,4.162330905306972,961,0.20811654526534862,961,3.9542143600416235
vit_base_patch16_224,0.0029411764705882353,eps075centi_255,0.6941207682064281,0.05046873912215233,0.6566912531852722,17.68355739400207,967,1.4477766287487073,967,16.235780765253363
vit_small_patch16_224,0.0029411764705882353,eps075centi_255,0.3953843497410545,-0.027282132767140865,0.6417689919471741,26.200873362445414,916,15.829694323144105,916,10.371179039301309
vit_tiny_patch16_224,0.0029411764705882353,eps075centi_255,0.3364109044773943,-0.25266897678375244,0.2656080424785614,5.50561797752809,890,2.8089887640449436,890,2.696629213483146
