encoder,n_samples,R10,R200,collapse_pp,conditional_collapse,lambda_median,lambda_mean,kappa_median,kappa_mean,rho_10_median,rho_10_mean,rho_200_median,rho_200_mean,m_10_median,m_10_mean,m_200_median,m_200_mean,r_perp_10_median,r_perp_10_mean,r_perp_200_median,r_perp_200_mean,one_minus_cos_10_median,one_minus_cos_10_mean,one_minus_cos_200_median,one_minus_cos_200_mean,g_offray_10_median,g_offray_10_mean,g_offray_200_median,g_offray_200_mean,q_offray_10_median,q_offray_10_mean,q_offray_200_median,q_offray_200_mean,offray_gain_10_median,offray_gain_10_mean,onray_gain_10_median,onray_gain_10_mean,total_gain_10_median,total_gain_10_mean
clip_vit_l14,100,52.0,10.0,42.00000000000001,0.8076923076923077,0.2263494655489921,0.3192697862442583,0.9450730085372925,0.9282772207260132,0.2060097530484199,0.23054010983556508,0.43866482377052307,0.472978587821126,0.0090374797582626,0.017006900943815705,-0.20670796185731885,-0.22543157674372197,0.9476785361766815,0.9421187090873718,0.9957147836685181,0.9934218579530716,0.6877473592758179,0.6995488280057907,0.9080694615840912,0.9061975282430649,0.22745547443628306,0.25538768045604227,0.4829651266336441,0.519574738740921,1.1177209615707397,1.1128049516677856,1.0863368511199951,1.1008603519201279,6.314469575881958,6.61248673915863,-0.6264393329620361,-0.7140670156478882,5.3528196811676025,5.898419737815857
convnext_large,100,62.0,28.000000000000004,34.0,0.5483870967741935,1.0859936475753784,1.6918231930024923,0.8416277468204498,0.7867987152189017,0.37750193476676935,0.6678231478109956,1.389434576034546,2.1506411754712462,0.24952913075685496,0.8107987724989653,-0.639552652835846,-0.6720192638784647,0.9344954192638397,0.9225449848175049,0.9939098954200745,0.9866027706861495,0.6442328691482544,0.6363335186243058,0.8898069858551025,0.8679066467285156,0.47208385169506073,0.7506668996065855,1.4673779010772705,2.2893472056090833,1.113900065422058,1.1396100240945817,1.0508425831794739,1.0969661122560501,4.691657781600952,6.940215163230896,-0.3953738212585449,-0.7865131616592407,4.216024875640869,6.153702013492584
deit3_vitb16,100,75.0,63.0,12.0,0.16,2.4559144973754883,3.637003674134612,0.43424688279628754,0.41939349299296735,0.423603355884552,0.5569160887598992,0.7788287997245789,1.4292053860425948,1.567441165447235,2.4994810746610163,0.5920397341251373,1.6271917822957038,0.7487135529518127,0.7376512289047241,0.9319926500320435,0.8738602340221405,0.33722230792045593,0.36544700801372526,0.6385115087032318,0.5978836685419082,0.5065480768680573,0.6954727809131146,1.088465929031372,1.6977430632710457,1.2974901795387268,1.291400734782219,1.283379316329956,1.3565389835834503,2.725825071334839,3.716022839546204,-0.46267032623291016,-0.7782687330245972,2.0905838012695312,2.9377541065216066
dino_vits16,100,71.0,70.0,1.0000000000000009,0.014084507042253521,1.8217855095863342,2.383540651025833,0.09969928115606305,0.1342744110908825,0.16955278068780893,0.19883248867467046,0.2060972601175308,0.2865653688646853,0.8115441203117371,1.318982574120164,0.7580958008766174,1.2312497010827064,0.4191799610853195,0.43544645205140114,0.5745716392993927,0.5891313429176808,0.0920995771884918,0.11392044723033902,0.18156936764717102,0.23495760083198547,0.23809069395065305,0.27385626789182427,0.3575516492128372,0.45494358986616135,1.4577895998954773,1.4549024152755736,1.7102106213569641,1.719083069562912,7.575580596923828,11.29758716583252,-2.2649803161621094,-3.000890197753906,5.059635162353516,8.296696968078614
efficientnet_b0,100,63.0,60.0,3.0000000000000027,0.047619047619047616,1.6060805916786194,2.064233849332668,0.10136697068810455,0.1060000155272428,0.20648523420095438,0.24488866880536078,0.25181964039802546,0.3447195681557059,0.5391848087310791,0.9253451961278916,0.29495544731616974,0.8255142967402935,0.49460791051387787,0.5085074491798878,0.6911535263061523,0.6784167012572289,0.1308898329734802,0.15093495547771452,0.2773005962371826,0.30530478835105895,0.30852229893207544,0.3518941882252693,0.4714163243770599,0.576395073980093,1.4972524046897888,1.4860922753810883,1.8133320212364197,1.7957164311408997,1.2872440814971924,1.9091434717178344,-0.4309670925140381,-0.5555570268630982,0.8287451267242432,1.3535864400863646
vit_base_patch16_224,100,55.00000000000001,5.0,50.0,0.9090909090909091,1.0006858110427856,1.2654025621234906,0.8183102011680603,0.7825176341831684,0.7293741405010223,0.8445656260102987,1.8784849643707275,2.0835548415780067,0.10096573829650876,0.203354572057724,-0.906593918800354,-1.0356346428394319,0.9038055837154388,0.8971269696950912,0.9923856854438782,0.9858455681800842,0.5888866782188416,0.602288899421692,0.8780451714992523,0.8618704521656037,0.8357730805873871,0.9320517155528069,2.0683237314224243,2.237039154171944,1.119113266468048,1.1208100670576095,1.0667858123779297,1.09374872982502,8.49772596359253,9.329141554832459,-0.725588321685791,-0.9760548877716064,7.358560800552368,8.353086667060852
