rho_bin,n,rho_10_median,r_perp_10_median,one_minus_cos_10_median,onray_gain_over_Lp_median,offray_gain_over_Lp_median,total_gain_over_Lp_median,q_offray_10_median
low,200,0.1387131363153457,0.46270227432250977,0.11348670721054069,-0.04636365590367486,0.18525094033085385,0.13871313367383656,1.4494048357009888
high,200,0.7479899227619171,0.877618670463562,0.5304162800312042,-0.12151215562867984,0.8799159014138813,0.7479899076540268,1.1302698850631714
mid,200,0.28972314298152924,0.8485120534896851,0.47448304295539856,-0.08118337757060676,0.36700552731520486,0.28972315291206296,1.2626266479492188
