level,x,y,spearman,p,n
sample,rho_10,r_perp_10,0.2917811438365106,3.0652354157357786e-13,600
sample,rho_10,one_minus_cos_10,0.28353612093366926,1.4790963343107364e-12,600
sample,rho_10,g_offray_10,0.9817823938399828,0.0,600
sample,rho_10,q_offray_10,-0.43038325106458625,1.887729234797293e-28,600
encoder,rho_10_median,r_perp_10_median,0.2571428571428572,0.6227871720116619,6
encoder,rho_10_median,one_minus_cos_10_median,0.2571428571428572,0.6227871720116619,6
encoder,rho_10_median,g_offray_10_median,0.942857142857143,0.004804664723032055,6
