encoder,R_top1_10,R_top1_100,delta_R_top1_10_100,n_samples,pretty_encoder,family,rho10,bar_rho10,R10,delta_R_10_200,bar_tau10,source_json
dinov2_vitl14,81.00000023841858,62.99999952316284,18.000000715255737,100.0,dinov2_vitl14,Self-supervised DINO / DINOv2 / MoCo / MAE,0.4139650901744218,0.4139650901744218,74.09326424870466,27.7720207253886,0.1396694481372833,ce_apgd_top1_dinov2_vitl14_L2_eps0.25.json
dinov2_vits14,68.99999976158142,61.00000143051148,7.999998331069946,100.0,dinov2_vits14,Self-supervised DINO / DINOv2 / MoCo / MAE,0.2774473892813803,0.2774473892813803,56.70995670995672,16.23376623376624,0.1244849413633346,ce_apgd_top1_dinov2_vits14_L2_eps0.25.json
efficientnet_b0,67.00000166893005,63.999998569488525,3.0000030994415283,100.0,EfficientNet-B0,EfficientNet / DenseNet / MobileNet / Mixer,0.1848166118650596,0.1848166118650596,64.24702058504876,3.358613217768152,0.0893468186259269,ce_apgd_top1_efficientnet_b0_L2_eps0.25.json
efficientnet_b1,74.00000095367432,73.00000190734863,0.9999990463256836,100.0,efficientnet_b1,EfficientNet / DenseNet / MobileNet / Mixer,0.2254313541712038,0.2254313541712038,67.16738197424893,2.467811158798284,0.1683269366621971,ce_apgd_top1_efficientnet_b1_L2_eps0.25.json
efficientnet_b3,60.00000238418579,37.00000047683716,23.000001907348636,100.0,efficientnet_b3,EfficientNet / DenseNet / MobileNet / Mixer,0.4568146595481099,0.4568146595481099,58.76068376068376,16.02564102564103,0.3714921623468399,ce_apgd_top1_efficientnet_b3_L2_eps0.25.json
mixer_b16_224,74.00000095367432,46.99999988079071,27.00000107288361,100.0,mixer_b16_224,EfficientNet / DenseNet / MobileNet / Mixer,0.4251110075363069,0.4251110075363069,66.00877192982456,17.763157894736842,0.3516502976417541,ce_apgd_top1_mixer_b16_224_L2_eps0.25.json
mobilenetv3_large_100,37.99999952316284,34.99999940395355,3.0000001192092896,100.0,mobilenetv3_large_100,EfficientNet / DenseNet / MobileNet / Mixer,0.3222784052292589,0.3222784052292589,39.40724478594951,5.049396267837544,-0.0598519183695316,ce_apgd_top1_mobilenetv3_large_100_L2_eps0.25.json
resnet101,73.00000190734863,63.999998569488525,9.000003337860107,100.0,resnet101,ResNet / Wide-ResNet,0.4129505236230564,0.4129505236230564,59.65665236051502,12.87553648068669,-0.0839686542749404,ce_apgd_top1_resnet101_L2_eps0.25.json
resnet152,75.0,64.99999761581421,10.000002384185793,100.0,resnet152,ResNet / Wide-ResNet,0.412794755352257,0.412794755352257,61.40904311251314,13.8801261829653,-0.1163149699568748,ce_apgd_top1_resnet152_L2_eps0.25.json
resnet18,46.99999988079071,43.99999976158142,3.0000001192092896,100.0,resnet18,ResNet / Wide-ResNet,0.2881964756350332,0.2881964756350332,44.61883408071749,3.139013452914803,-0.064901165664196,ce_apgd_top1_resnet18_L2_eps0.25.json
resnet34,62.99999952316284,55.000001192092896,7.999998331069946,100.0,resnet34,ResNet / Wide-ResNet,0.3867724140754234,0.3867724140754234,52.22101841820152,7.04225352112676,0.0158118307590484,ce_apgd_top1_resnet34_L2_eps0.25.json
resnet50_timm,70.99999785423279,55.000001192092896,15.999996662139893,100.0,resnet50_timm,ResNet / Wide-ResNet,0.4111454965732778,0.4111454965732778,52.1551724137931,11.422413793103445,-0.1125078126788139,ce_apgd_top1_resnet50_timm_L2_eps0.25.json
swin_base_patch4_window7_224,73.00000190734863,12.999999523162842,60.00000238418579,100.0,Swin-B,Swin / SwinV2 / MaxViT,0.9405520446487394,0.9405520446487394,51.45833333333333,45.41666666666666,0.2652995139360428,ce_apgd_top1_swin_base_patch4_window7_224_L2_eps0.25.json
swin_small_patch4_window7_224,75.99999904632568,9.000000357627869,66.99999868869781,100.0,swin_small_patch4_window7_224,Swin / SwinV2 / MaxViT,0.5597570826468057,0.5597570826468057,52.55474452554745,46.71532846715328,-0.2531311810016632,ce_apgd_top1_swin_small_patch4_window7_224_L2_eps0.25.json
swin_tiny_patch4_window7_224,62.00000047683716,11.9999997317791,50.00000074505806,100.0,swin_tiny_patch4_window7_224,Swin / SwinV2 / MaxViT,0.6743491233879824,0.6743491233879824,40.63157894736842,33.26315789473684,0.0876643247902393,ce_apgd_top1_swin_tiny_patch4_window7_224_L2_eps0.25.json
swinv2_tiny_window8_256,66.00000262260437,9.000000357627869,57.0000022649765,100.0,SwinV2-Tiny,Swin / SwinV2 / MaxViT,0.7491039886178481,0.7491039886178481,44.22476586888658,39.33402705515088,0.0647462680935859,ce_apgd_top1_swinv2_tiny_window8_256_L2_eps0.25.json
vit_base_patch16_224,73.00000190734863,10.000000149011612,63.00000175833702,100.0,ViT-B/16,Supervised ViT / DeiT / DeiT3,0.6797824929813953,0.6797824929813953,60.08273009307136,51.70630816959669,-0.0891310572624206,ce_apgd_top1_vit_base_patch16_224_L2_eps0.25.json
vit_small_patch16_224,79.00000214576721,64.99999761581421,14.000004529953005,100.0,vit_small_patch16_224,Supervised ViT / DeiT / DeiT3,0.3455488041209107,0.3455488041209107,70.3056768558952,13.646288209606986,-0.1296573653817176,ce_apgd_top1_vit_small_patch16_224_L2_eps0.25.json
vit_tiny_patch16_224,60.00000238418579,50.99999904632568,9.000003337860107,100.0,vit_tiny_patch16_224,Supervised ViT / DeiT / DeiT3,0.3356461202664507,0.3356461202664507,48.53932584269663,9.101123595505612,-0.2362278774380684,ce_apgd_top1_vit_tiny_patch16_224_L2_eps0.25.json
wide_resnet50_2,75.99999904632568,51.99999809265137,24.00000095367432,100.0,wide_resnet50_2,ResNet / Wide-ResNet,0.4795234318090315,0.4795234318090315,61.034846884899686,19.746568109820487,0.0358452424407005,ce_apgd_top1_wide_resnet50_2_L2_eps0.25.json
