linf_label,linf_eps,linf_tag,n,missing_count,spearman,p,bootstrap_ci_low,bootstrap_ci_high,source
0.25/255,0.0009803921568627,eps025centi_255,42,0,0.9027631472328013,3.0522246449607857e-16,0.7876980992662174,0.9547420684388355,linf_sweetspot
0.375/255,0.0014705882352941,eps038centi_255,42,0,0.9718013126975124,1.0276674366863535e-26,0.9259680168844875,0.9865292542400388,linf_sweetspot
0.5/255,0.0019607843137254,eps050centi_255,42,0,0.932906571590633,2.424636877152557e-19,0.8592204116245092,0.965564920068938,linf_sweetspot
0.75/255,0.0029411764705882,eps075centi_255,42,0,0.8099019528401264,8.263150663461137e-11,0.6506904955320878,0.894003373679963,linf_sweetspot
1/255,0.00392156862745098,eps100centi_255_old,42,0,0.6225589498419902,1.071328275688673e-05,0.3981048678489207,0.7726390275987834,linf_imagenet100_old
