backbone,linf_label,linf_eps,linf_tag,rho_l2_10,rho_linf_10,n_l2,source
clip_vitb16,0.375/255,0.0014705882352941,eps038centi_255,0.4871564002688542,0.3941499169183666,919,linf_sweetspot
convnext_base,0.375/255,0.0014705882352941,eps038centi_255,0.5725990512983969,0.5513313311966177,961,linf_sweetspot
convnext_large,0.375/255,0.0014705882352941,eps038centi_255,0.45173961811716845,0.4331909168164762,969,linf_sweetspot
convnext_small,0.375/255,0.0014705882352941,eps038centi_255,0.49669211588658824,0.4817770640391079,965,linf_sweetspot
convnext_tiny,0.375/255,0.0014705882352941,eps038centi_255,0.5658422124472882,0.552797045629899,953,linf_sweetspot
deit3_large_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,0.42808065947300644,0.3839234887120248,975,linf_sweetspot
deit3_medium_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,1.0118145020198757,0.8602970949046691,950,linf_sweetspot
deit3_small_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,0.43278746652538946,0.4083113195859972,946,linf_sweetspot
deit3_vitb16,0.375/255,0.0014705882352941,eps038centi_255,0.43492634625814375,0.3989498434934901,963,linf_sweetspot
deit_base_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,0.7363539674202184,0.6074977560826453,953,linf_sweetspot
deit_small_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,0.610073080433267,0.4520082808317294,932,linf_sweetspot
deit_tiny,0.375/255,0.0014705882352941,eps038centi_255,0.512631399519897,0.3670495373812557,885,linf_sweetspot
densenet121,0.375/255,0.0014705882352941,eps038centi_255,0.35332901932513683,0.3105129929764465,911,linf_sweetspot
densenet201,0.375/255,0.0014705882352941,eps038centi_255,0.27420028625585946,0.2582395423618067,929,linf_sweetspot
dino_resnet50,0.375/255,0.0014705882352941,eps038centi_255,0.35247463992915584,0.3123492987178395,887,linf_sweetspot
dino_vitb16,0.375/255,0.0014705882352941,eps038centi_255,0.1702742604116253,0.1302679113964515,917,linf_sweetspot
dino_vitb8,0.375/255,0.0014705882352941,eps038centi_255,0.1266468909845102,0.1179865303216445,930,linf_sweetspot
dino_vits16,0.375/255,0.0014705882352941,eps038centi_255,0.16208680842968137,0.1471765877695663,909,linf_sweetspot
dinov2_vitb14,0.375/255,0.0014705882352941,eps038centi_255,0.3538796481573385,0.3174407783624016,963,linf_sweetspot
dinov2_vitl14,0.375/255,0.0014705882352941,eps038centi_255,0.41396509017442185,0.3919995210248128,965,linf_sweetspot
dinov2_vits14,0.375/255,0.0014705882352941,eps038centi_255,0.27744738928138035,0.2395385415447033,924,linf_sweetspot
efficientnet_b0,0.375/255,0.0014705882352941,eps038centi_255,0.1848166118650596,0.2054546121469647,923,linf_sweetspot
efficientnet_b1,0.375/255,0.0014705882352941,eps038centi_255,0.22543135417120386,0.2570116534101729,932,linf_sweetspot
efficientnet_b3,0.375/255,0.0014705882352941,eps038centi_255,0.45681465954810996,0.4446003799390734,936,linf_sweetspot
mixer_b16_224,0.375/255,0.0014705882352941,eps038centi_255,0.42511100753630693,0.3233478137671712,912,linf_sweetspot
mobilenetv3_large_100,0.375/255,0.0014705882352941,eps038centi_255,0.3222784052292589,0.2841927293199688,911,linf_sweetspot
resnet101,0.375/255,0.0014705882352941,eps038centi_255,0.4129505236230564,0.3495614927446111,932,linf_sweetspot
resnet152,0.375/255,0.0014705882352941,eps038centi_255,0.41279475535225707,0.336179565363917,951,linf_sweetspot
resnet18,0.375/255,0.0014705882352941,eps038centi_255,0.28819647563503326,0.286337307288754,892,linf_sweetspot
resnet34,0.375/255,0.0014705882352941,eps038centi_255,0.3867724140754234,0.3749167926176704,923,linf_sweetspot
resnet50_timm,0.375/255,0.0014705882352941,eps038centi_255,0.4111454965732778,0.3483454088751134,928,linf_sweetspot
swin_base_patch4_window7_224,0.375/255,0.0014705882352941,eps038centi_255,0.9405520446487394,0.8631484474257518,960,linf_sweetspot
swin_small_patch4_window7_224,0.375/255,0.0014705882352941,eps038centi_255,0.5597570826468057,0.599875940167335,959,linf_sweetspot
swin_tiny_patch4_window7_224,0.375/255,0.0014705882352941,eps038centi_255,0.6743491233879824,0.6446087689403912,950,linf_sweetspot
swinv2_tiny_window8_256,0.375/255,0.0014705882352941,eps038centi_255,0.7491039886178481,0.7783861563984829,961,linf_sweetspot
vit_base_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,0.6797824929813953,0.6424551428401721,967,linf_sweetspot
vit_small_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,0.3455488041209107,0.2503973021903407,916,linf_sweetspot
vit_tiny_patch16_224,0.375/255,0.0014705882352941,eps038centi_255,0.3356461202664507,0.2612525897565467,890,linf_sweetspot
wide_resnet50_2,0.375/255,0.0014705882352941,eps038centi_255,0.47952343180903156,0.4174232353585072,947,linf_sweetspot
clip_rn101,0.5/255,0.0019607843137254,eps050centi_255,0.27714526211114876,0.1850446127920815,872,linf_sweetspot
clip_rn50,0.5/255,0.0019607843137254,eps050centi_255,0.3171452948032911,0.221114910294915,851,linf_sweetspot
clip_vit_l14,0.5/255,0.0019607843137254,eps050centi_255,0.19992844506710483,0.2208188596922315,953,linf_sweetspot
clip_vitb16,0.5/255,0.0019607843137254,eps050centi_255,0.4871564002688542,0.3916174312993714,919,linf_sweetspot
convnext_base,0.5/255,0.0019607843137254,eps050centi_255,0.5725990512983969,0.7088614171050475,961,linf_sweetspot
convnext_large,0.5/255,0.0019607843137254,eps050centi_255,0.45173961811716845,0.48122697278975,969,linf_sweetspot
convnext_small,0.5/255,0.0019607843137254,eps050centi_255,0.49669211588658824,0.5602189972621527,965,linf_sweetspot
convnext_tiny,0.5/255,0.0019607843137254,eps050centi_255,0.5658422124472882,0.59508342776598,953,linf_sweetspot
deit3_large_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,0.42808065947300644,0.4827826169777283,975,linf_sweetspot
deit3_medium_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,1.0118145020198757,0.8974213561577585,950,linf_sweetspot
deit3_small_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,0.43278746652538946,0.5382867847748156,946,linf_sweetspot
deit3_vitb16,0.5/255,0.0019607843137254,eps050centi_255,0.43492634625814375,0.5313082593408502,963,linf_sweetspot
deit_base_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,0.7363539674202184,0.6827535734293662,953,linf_sweetspot
deit_small_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,0.610073080433267,0.5245543548424674,932,linf_sweetspot
deit_tiny,0.5/255,0.0019607843137254,eps050centi_255,0.512631399519897,0.4272847058916937,885,linf_sweetspot
densenet121,0.5/255,0.0019607843137254,eps050centi_255,0.35332901932513683,0.3433407247335829,911,linf_sweetspot
densenet201,0.5/255,0.0019607843137254,eps050centi_255,0.27420028625585946,0.2900376288990927,929,linf_sweetspot
dino_resnet50,0.5/255,0.0019607843137254,eps050centi_255,0.35247463992915584,0.341752297506174,887,linf_sweetspot
dino_vitb16,0.5/255,0.0019607843137254,eps050centi_255,0.1702742604116253,0.1670583278916848,917,linf_sweetspot
dino_vitb8,0.5/255,0.0019607843137254,eps050centi_255,0.1266468909845102,0.1916822995071454,930,linf_sweetspot
dino_vits16,0.5/255,0.0019607843137254,eps050centi_255,0.16208680842968137,0.198482809013003,909,linf_sweetspot
dinov2_vitb14,0.5/255,0.0019607843137254,eps050centi_255,0.3538796481573385,0.4236882021380954,963,linf_sweetspot
dinov2_vitl14,0.5/255,0.0019607843137254,eps050centi_255,0.41396509017442185,0.4943229434041889,965,linf_sweetspot
dinov2_vits14,0.5/255,0.0019607843137254,eps050centi_255,0.27744738928138035,0.3444729512197904,924,linf_sweetspot
efficientnet_b0,0.5/255,0.0019607843137254,eps050centi_255,0.1848166118650596,0.3019697862151886,923,linf_sweetspot
efficientnet_b1,0.5/255,0.0019607843137254,eps050centi_255,0.22543135417120386,0.3904763439298584,932,linf_sweetspot
efficientnet_b3,0.5/255,0.0019607843137254,eps050centi_255,0.45681465954810996,0.5988786392900565,936,linf_sweetspot
mixer_b16_224,0.5/255,0.0019607843137254,eps050centi_255,0.42511100753630693,0.4447834722820154,912,linf_sweetspot
mobilenetv3_large_100,0.5/255,0.0019607843137254,eps050centi_255,0.3222784052292589,0.33867394312868,911,linf_sweetspot
resnet101,0.5/255,0.0019607843137254,eps050centi_255,0.4129505236230564,0.3720056280709634,932,linf_sweetspot
resnet152,0.5/255,0.0019607843137254,eps050centi_255,0.41279475535225707,0.3527044712776153,951,linf_sweetspot
resnet18,0.5/255,0.0019607843137254,eps050centi_255,0.28819647563503326,0.3255059996048848,892,linf_sweetspot
resnet34,0.5/255,0.0019607843137254,eps050centi_255,0.3867724140754234,0.4157115520245513,923,linf_sweetspot
resnet50_timm,0.5/255,0.0019607843137254,eps050centi_255,0.4111454965732778,0.3700233562687187,928,linf_sweetspot
swin_base_patch4_window7_224,0.5/255,0.0019607843137254,eps050centi_255,0.9405520446487394,0.9274669636527396,960,linf_sweetspot
swin_small_patch4_window7_224,0.5/255,0.0019607843137254,eps050centi_255,0.5597570826468057,0.649194947024597,959,linf_sweetspot
swin_tiny_patch4_window7_224,0.5/255,0.0019607843137254,eps050centi_255,0.6743491233879824,0.714781338217046,950,linf_sweetspot
swinv2_tiny_window8_256,0.5/255,0.0019607843137254,eps050centi_255,0.7491039886178481,0.8415928411097894,961,linf_sweetspot
vit_base_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,0.6797824929813953,0.6829553599925118,967,linf_sweetspot
vit_small_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,0.3455488041209107,0.3133781997899855,916,linf_sweetspot
vit_tiny_patch16_224,0.5/255,0.0019607843137254,eps050centi_255,0.3356461202664507,0.2909243696896513,890,linf_sweetspot
wide_resnet50_2,0.5/255,0.0019607843137254,eps050centi_255,0.47952343180903156,0.4550638496084702,947,linf_sweetspot
clip_rn101,0.75/255,0.0029411764705882,eps075centi_255,0.27714526211114876,0.1510539324833271,872,linf_sweetspot
clip_rn50,0.75/255,0.0029411764705882,eps075centi_255,0.3171452948032911,0.1883295891340601,851,linf_sweetspot
clip_vit_l14,0.75/255,0.0029411764705882,eps075centi_255,0.19992844506710483,0.1984480029812374,953,linf_sweetspot
clip_vitb16,0.75/255,0.0029411764705882,eps075centi_255,0.4871564002688542,0.3484465646284054,919,linf_sweetspot
convnext_base,0.75/255,0.0029411764705882,eps075centi_255,0.5725990512983969,0.8884883522333027,961,linf_sweetspot
convnext_large,0.75/255,0.0029411764705882,eps075centi_255,0.45173961811716845,0.5553029586473659,969,linf_sweetspot
convnext_small,0.75/255,0.0029411764705882,eps075centi_255,0.49669211588658824,0.6461567500645127,965,linf_sweetspot
convnext_tiny,0.75/255,0.0029411764705882,eps075centi_255,0.5658422124472882,0.6416721823632532,953,linf_sweetspot
deit3_large_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,0.42808065947300644,0.6465872092483398,975,linf_sweetspot
deit3_medium_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,1.0118145020198757,0.8464713225821452,950,linf_sweetspot
deit3_small_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,0.43278746652538946,0.7255414101768205,946,linf_sweetspot
deit3_vitb16,0.75/255,0.0029411764705882,eps075centi_255,0.43492634625814375,0.7595346799750016,963,linf_sweetspot
deit_base_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,0.7363539674202184,0.7702490241168762,953,linf_sweetspot
deit_small_patch16_224,0.75/255,0.0029411764705882,eps075centi_255,0.610073080433267,0.6230651453040257,932,linf_sweetspot
deit_tiny,0.75/255,0.0029411764705882,eps075centi_255,0.512631399519897,0.5054148091642086,885,linf_sweetspot
densenet121,0.75/255,0.0029411764705882,eps075centi_255,0.35332901932513683,0.3786659919118307,911,linf_sweetspot
densenet201,0.75/255,0.0029411764705882,eps075centi_255,0.27420028625585946,0.335839042182914,929,linf_sweetspot
dino_resnet50,0.75/255,0.0029411764705882,eps075centi_255,0.35247463992915584,0.3720624306685209,887,linf_sweetspot
dino_vitb16,0.75/255,0.0029411764705882,eps075centi_255,0.1702742604116253,0.2461297909238347,917,linf_sweetspot
dino_vitb8,0.75/255,0.0029411764705882,eps075centi_255,0.1266468909845102,0.3456560425149817,930,linf_sweetspot
